1,Mumtaz Restaurant,,6281039174,Secunderabad,,,Bakerys
2,Al Limra Bakery,,6281373237,Madannapet,,,Bakerys
3,Creative Home Bakers - Baked with Perfection,,6281435826,Bachupally,,,Bakerys
4,Noshad Shop,,6281497088,banjara jubli,,,Bakerys
5,Sree Cake Walkers,,6281504005,Manikonda,,,Bakerys
6,Ganesh Curry Point,,6281670126,Madinaguda,,,Bakerys
7,Madina Bakers & Sweet,,6281736083,Barkas,,,Bakerys
8,Bharath Tiffin Center,,6281847148,Purana pul,,,Bakerys
9,Limra Bakery Items,,6281897713,Purana pul,,,Bakerys
10,Flechazo Madhapur,,6281977228,banjara jubli,,,Bakerys
11,MS Cake Studio,,6281981603,kothaguda,,,Bakerys
12,Venus baker's,,6300110410,Kokapet,,,Bakerys
13,GULSHAN BAKERS,,6300357145,Golconda fort,,,Bakerys
14,A1 BAKERY,,6300464084,banjara jubli,,,Bakerys
15,Madina Bakery,,6300560415,Aliabad,,,Bakerys
16,Juhi Pan Shop,,6300562760,bahaur pura,,,Bakerys
17,Fnp Cakes,,6300628894,SHAIKPET,,,Bakerys
18,Monginis Cake Shop,,6300642525,IDA Bollaram,,,Bakerys
19,Mn Bakery,,6300758071,Edi Bazar,,,Bakerys
20,Nawaz Bakery,,6300766455,Nampally,,,Bakerys
21,Riya Fried Chicken,,6300911957,Chikkadpally,,,Bakerys
22,Vinchu's Bakes,,6301181488,kukatpally,,,Bakerys
23,White House sweets & Bakers,,6301309363,Barkas,,,Bakerys
24,Sunny Bakers,,6301353492,banjara jubli,,,Bakerys
25,Sri Balaji Kuldeep Sweet House,,6301547205,RC Puram,,,Bakerys
26,CakeZone,,6301726856,Jamia Osmania,,,Bakerys
27,Shanta Ki Rasoi,,6301827389,Kothapet,,,Bakerys
28,Felish Patisserie,,6301832785,Kokapet,,,Bakerys
29,Bakers cutlery,,6301860924,Barkas,,,Bakerys
30,Varuni Tea Sancks,,6301898572,Gowliguda ,,,Bakerys
31,R J Bakery,,6302114965,MG Road (James Street),,,Bakerys
32,Zam Zam Bakery Paradise,,6302197102,banjara jubli,,,Bakerys
33,Sucre,,6302285224,banjara jubli,,,Bakerys
34,Mujeer Flowar Shop,,6302296508,Nagaram,,,Bakerys
35,Bakers,,6302300635,Boduppal,,,Bakerys
36,Cake Adict,,6302386743,Chanda Nagar,,,Bakerys
37,Samosa Corner,,6302562474,banjara jubli,,,Bakerys
38,Jai Maruthi Banglore Bakery,,6302926829,kukatpally,,,Bakerys
39,"A.M Bakes, Cakes & Fast Food",,6302957959,banjara jubli,,,Bakerys
40,Sri Laxmi Ganapati Sweets,,6303287269,Chanda Nagar,,,Bakerys
41,The A A Enterprises,,6303296135,Ashok Nagar,,,Bakerys
42,Bekary And Cafe,,6303502337,rajendranagar,,,Bakerys
43,Cake Affair? -The Neighborhood Bakery,,6303702232,banjara jubli,,,Bakerys
44,Sai Sweets And Bakery,,6303830256,Moosarambagh,,,Bakerys
45,Milan Bakery & Sweet House,,6304175404,Dhoolpet,,,Bakerys
46,Gourmet Homebakes,,6304403630,Shamirpet,,,Bakerys
47,Venkatesh Kiranam,,6304533154,Ghatkesar,,,Bakerys
48,Mustafa Bakery,,6304583528,Chintalmet ,,,Bakerys
49,Aj Pan Palace,,6304604261,Asif Nagar,,,Bakerys
50,M.S Bekery,,6304757229,Barkas,,,Bakerys
51,Fruit Shop,,6304860461,banjara jubli,,,Bakerys
52,New Punjab Bakery,,6304870507,Chanchalguda,,,Bakerys
53,CakeZone,,6304899339,Saroornagar ,,,Bakerys
54,Monginis Cake Shop,,6305031197,SHAIKPET,,,Bakerys
55,Balaiah Bakery,,6305103628,Nizampet,,,Bakerys
56,SS Bakers,,6305122747,Suraram,,,Bakerys
57,HYDERABAD CAKE HOUSE,,6305145367,SHAIKPET,,,Bakerys
58,YOURS UNIVERSE BAKES AND CAKES,,6305171856,Rampally,,,Bakerys
59,Ram Bharose Baker's,,6305502061,Suraram,,,Bakerys
60,Hyderabad Sweet And Bakers,,6305530623,Barkas,,,Bakerys
61,Sai Cakes' & Bakes,,6305675832,Bairamalguda ,,,Bakerys
62,Honeybunny Bakery,,6305677142,Kompally,,,Bakerys
63,Milk Shop,,6305684656,Rampally,,,Bakerys
64,Sashi Kumar,,6305698711,Kandlakoya,,,Bakerys
65,BISMILLAH Bakers,,6305871324,Alijah Kotla,,,Bakerys
66,VIJAYA LAXMI SWEETS,,6305879628,Yousufguda,,,Bakerys
67,JS Bakers & Sweets House,,6305920824,banjara jubli,,,Bakerys
68,Conçu Sainikpuri,,6309070666,Ammuguda,,,Bakerys
69,Infinity Cake Topper,,6309119974,banjara jubli,,,Bakerys
70,Bakers Field,,6309185308,Malkajgiri,,,Bakerys
71,Karthik Bakers,,6309356121,banjara jubli,,,Bakerys
72,Zakir Fast Food,,6309613305,banjara jubli,,,Bakerys
73,DAMILANO BAKERY & CAFE,,6309712052,Chikkadpally,,,Bakerys
74,OhrisÍs Cake Nation,,6309794222,kukatpally,,,Bakerys
75,"Swiss Castle Bakery, Abids",,6309830013,"Lakdikapul,",,,Bakerys
76,"Swiss Castle Bakery, Narayanguda",,6309830019,Himayatnagar,,,Bakerys
77,"Swiss Castle Bakery, P.G Road",,6309830023,banjara jubli,,,Bakerys
78,"Swiss Castle Bakery, West Marredpally",,6309830026,banjara jubli,,,Bakerys
79,"Swiss Castle Bakery ,Musheerabad",,6309830034,Musheerabad,,,Bakerys
80,"Swiss Castle Bakery, Tarnaka",,6309830035,"Lakdikapul,",,,Bakerys
81,"Swiss Castle Bakery, Banjarahills",,6309830036,banjara jubli,,,Bakerys
82,"Swiss Castle Bakery, ECIL",,6309830046,ECIL 'X' Roads,,,Bakerys
83,"Swiss Castle Bakery, Attapur",,6309830048,banjara jubli,,,Bakerys
84,"Swiss Castle Bakery ,Vidya Nagar",,6309830056,Adikmet,,,Bakerys
85,"Swiss Castle Bakery, Hitex Road",,6309830068,banjara jubli,,,Bakerys
86,Bikaner Namkeen Bhandar,,6350585554,Lal Darwaza,,,Bakerys
87,Ammu Bakers,,6358610088,Dilsukhnagar ,,,Bakerys
